Appliances,Bedrooms,DateListed,Description,FullBathrooms,HalfBathrooms,MlsId,MlsName,Price,Rooms,StreetAddress,ThreeQuarterBathrooms
"Built-Ins,Microwave,RangeOven,Oven",2,2016-11-11 00:00:00,"Impeccably updated Spanish Modern in the heart of Venice Beach. A tall secluded hedge welcomes you to the grassy front yard and porch. A wide-open floor plan, live edge center island and large grassy ",2,,16178966,CLAW,1795000.00,"bedrooms,bathrooms",942 VENEZIA AVE,
"RangeOven,Oven",4,2016-11-10 00:00:00,"Don't miss this impressive 2,510sqft traditional located on a corner lot in Sunset Park. Perched up on top of the hill, this home has great views from the second level master suite. There are three ad",3,,16179108,CLAW,1749000.00,"bedrooms,bathrooms",1760 WELLESLEY DR,
"Built-Ins,RangeOven,Built-In And Free Standing",2,2016-11-11 00:00:00,"2+2 beautifully updated condo, located on the back of the complex and overlooking the park-like wooded area owned by the VA. This is a very idyllic and tranquil location that is convenient to everythi",2,,16179426,CLAW,749000.00,"bedrooms,bathrooms",330 S BARRINGTON AVE,
,0,2016-11-11 00:00:00,"Approved 8-Unit construction project in the NoHo Arts District. The Project is stamped ""Ready-to-Issue"" and ready to go. A stone's throw from everything that the North Hollywood Arts District has to o",,,16179532,CLAW,1100000.00,,5340 DENNY AVE,
,0,2016-11-11 00:00:00,"Bring your Developers! This property is perfect for a Small Lot Subdivision. Build 10 Units by Right. The site is made up of two full lots and a bit more for a total of over 16,000 square feet. With t",,,16179540,CLAW,1650000.00,,5625 CASE AVE,
"Built-In BBQ,Built-Ins,Microwave,RangeOven",3,2016-11-14 00:00:00,"Embodying the relaxed casual elegance and privacy of a European-style compound, this exquisitely designed contemporary home on a tree-lined Venice street is the realization of every coastal California",1,,16179602,CLAW,3986000.00,"bedrooms,bathrooms",2919 GRAYSON AVE,1
"Range Hood,Microwave,RangeOven",3,2016-11-16 00:00:00,This exquisite corner residence within Los Angeles' most distinguished pre-war building embraces the forgotten elegance of old-world European design while affording the modern comforts of present day ,3,1,16180182,CLAW,1875000.00,"bedrooms,bathrooms",308 N SYCAMORE AVE,
"RangeOven,Gas/Electric Range,Range Hood,Self Cleaning Oven",3,2016-11-17 00:00:00,This 1913 Craftsman is situated in the highly sought after Bungalow Heaven district. The home evokes the soul of vintage craftsman with thoughtful upgrades for modern living.The living room has a fire,2,,16180298,CLAW,1125000.00,"bedrooms,bathrooms",731 N CHESTER AVE,
"Built-Ins,RangeOven",2,2016-11-18 00:00:00,"Exquisitely renovated multilevel mid century town home 2 + 2.5 end unit with bonus office/nursery. Open floor plan. Spacious kitchen with stainless steel sink, oven and dishwasher. Cozy secluded patio",2,1,16181224,CLAW,839000.00,"bedrooms,bathrooms",4714 LA VILLA MARINA,
"Built-In BBQ,Built-Ins,Range Hood,RangeOven",4,2016-11-18 00:00:00,"Set to awe-inspiring ocean views and soaring sandstone mountain peaks, this striking home, built by world-renowned Architect Ed Niles, affords the rare opportunity to live within the majesty of nature",4,1,16181228,CLAW,7488000.00,"bedrooms,bathrooms",33583 MULHOLLAND HWY,
"Range Hood,RangeOven",4,2016-01-07 00:00:00,"Meticulously maintained historic 5-acre horse ranch nestled in the wine country of the Santa Ynez Valley combines exquisite craftsmanship with an artful blend of rustic wood, warm stone, and bronze to",4,1,16968013,CLAW,2879000.00,"bedrooms,bathrooms",828 BALLARD CANYON RD,
,0,2016-01-13 00:00:00,"Amazing white water, ocean view lot in gated community. Very private road. Multi-Million dollar homes on street. Gorgeous coastline Views. Huge up-side for the right buyer. Per Seller - Home may have ",,,16970717,CLAW,599000.00,,5880 Foxview DR,
"Built-In BBQ,Microwave,RangeOven,Cooktop - Gas,Double Oven",5,2016-01-20 00:00:00,"New Construction Point Dume Rental with coveted Beach Rights available immediately. This amazing, designer perfect, super private/secure home comes fully furnished and is available immediately. Book m",6,,16970871,CLAW,45000.00,"bedrooms,bathrooms",6692 WILDLIFE RD,
"RangeOven,Range Hood",6,2016-02-04 00:00:00,"Unbelievable custom home in the hills of La Canada Flintridge! The home sits peacefully on a multi-level 40,000+ square foot lot and is extremely private with beautiful views of the mountains. Enterta",3,1,316000525,ITECH,4699999.00,"bedrooms,bathrooms",845 Highland Drive,1
"Built-In Gas,RangeOven",6,2016-05-05 00:00:00,Absolutely exquisite Spanish Colonial Revival Estate located in the heart of Flintridge. Former Showcase House magnificently situated on almost 2 flat acres of private park-like grounds with multiple ,3,3,316004149,ITECH,6495000.00,"bedrooms,bathrooms",887 Flintridge Avenue,1
,4,2016-06-22 00:00:00,"Meticulously maintained light-filled townhouse in the Altos Arroyo complex is looking for its next owner. Main floor features hardwood flooring throughout, living room with vaulted ceilings and firepl",2,,316005809,ITECH,919000.00,"bedrooms,bathrooms",64 North Arroyo Boulevard,1
"Double Oven,Gas",4,2016-06-22 00:00:00,"Located on a quiet street in the desirable San Marino neighborhood, is this charming and cheerful traditional. It boasts 3 beds and 3 baths downstairs, and a private bedroom suite upstairs. Inviting c",3,1,316005875,ITECH,2700000.00,"bedrooms,bathrooms",899 Winston Avenue,
"Built-Ins,Oven,RangeOven",6,2016-07-15 00:00:00,"Mid Century 1970's iconic Charles Wong designed South Pasadena home, filled with original character and charm, situated on a corner lot atop of Via del Rey, overlooking Pasadena, the Rose Bowl and a g",4,,316006132,ITECH,1988000.00,"bedrooms,bathrooms",1401 Via Del Rey,1
,6,2016-07-04 00:00:00,Incredible opportunity! Absolute Best VALUE above the Blvd with SPECTACULAR VIEWS!! Stunning custom contemporary view home situated on one of the premier streets in Los Feliz. An architectural gem whi,6,1,316006255,ITECH,2488000.00,"bedrooms,bathrooms",2806 Glendower Avenue,
,5,2016-09-02 00:00:00,"The Prairie style architecture of this magnificent home, with its broad eaves, pergola covered porte-cochere and expansive front porch, welcome you home to the tree-shaded parkways and expansive lawns",1,1,316006757,ITECH,1898000.00,"bedrooms,bathrooms",764 Michigan Boulevard,2
,4,2016-07-29 00:00:00,Quintessential Cape Cod style home located in a prime area of La Canada Flintridge. Fantastic family floor plan with sunlight-filled rooms throughout which flow seamlessly to an inviting veranda and e,3,,316007195,ITECH,1848000.00,"bedrooms,bathrooms",5215 Vista Miguel Drive,
Built-In Gas,4,2016-08-03 00:00:00,"Special two-story Spanish Colonial Revival featuring Andalusian architectural details. Separate single-story wing dedicated to large living room with vaulted ceiling supported by trussed wooden beams,",3,,316007323,ITECH,1450000.00,"bedrooms,bathrooms",470 South Santa Anita Avenue,
"Oven,RangeOven",3,2016-09-06 00:00:00,"Located in the prestigious Linda Vista neighborhood of Pasadena, this adorable home welcomes you with a beautifully landscaped front yard and charming porch. Cozy living room with fireplace, wood beam",2,,316007560,ITECH,1088000.00,"bedrooms,bathrooms",1406 Wellington Avenue,
"Built-In Electric,Microwave",3,2016-08-15 11:31:13,"Quaint Sierra Madre Traditional corner lot home on cul-de-sac street. Wonderful open and bright floor plan with 3 bedrooms, 2 bathrooms, and spacious family room that opens to the back yard. This home",1,,316007701,ITECH,879000.00,"bedrooms,bathrooms",82 Monterey Lane,1
Gas,5,2016-08-19 00:00:00,"Beautifully remodeled five bedroom, three bath home located south of the Blvd. This home exemplifies an ideal open floorplan, soaring ceilings & an abundance of natural light. Features include a cooks",2,,316007842,ITECH,799000.00,"bedrooms,bathrooms",21552 Yucatan Avenue,1
,3,2016-08-24 00:00:00,"Peace, calm and quiet in the hills of La Crescenta, this Traditional-Contemporary home offers what you've been waiting for. Within the last two years this three bedroom,/two bathroom home has been ext",2,,316007976,ITECH,850000.00,"bedrooms,bathrooms",3138 Cloudcrest Road,
"Free Standing Gas,Oven-Gas",6,2016-09-06 00:00:00,House Re-Imagined! It is incredible what can be done for $50K. Come and see the transformation. Canopies of Oaks shelter this one-of-a-kind Rustic Craftsman residence that rests on the banks of Eaton ,5,,316008372,ITECH,1790000.00,"bedrooms,bathrooms",2388 North Altadena Drive,
Built-In Gas,3,2016-09-09 00:00:00,"Designed by noted Architect, Steven Hill, this stunning example of contemporary modernism is bound to impress you. Perched on an expansive ridge in Silverlake Heights, this 2,100 Sf contemporary home ",2,1,316008538,ITECH,1349000.00,"bedrooms,bathrooms",2329 Lake View Avenue,
,3,2016-09-19 00:00:00,"Charming hilltop home! Built in 1941, this 3 bedroom 2 bathroom traditional 2 level home has been meticulously maintained by the current owners for the past 25 years and is described as having good bo",1,,316008853,ITECH,899000.00,"bedrooms,bathrooms",1990 Hilldale Drive,1
Free Standing Gas,2,2016-09-28 00:00:00,"Charming townhouse style condo. Spacious, beautifully maintained light filled two bedroom two bath unit with hardwood floors, fireplace, two balconies, in unit washer/dryer and private two car garage.",2,,316008990,ITECH,2400.00,"bedrooms,bathrooms",1124 East Chestnut Street #39,
"Free Standing Gas,Microwave,Range Hood",3,2016-09-25 00:00:00,"Architectural excellence and modern finishes combine seamlessly in this luxurious single level rear unit. Built in 2007, the complex boasts idyllic qualities like lush foliage and curved paver-lined p",3,1,316009006,ITECH,728000.00,"bedrooms,bathrooms",2454 Oswego Street #201,
"Built-In BBQ,Convection Oven,Cooktop - Gas,Double Oven,Microwave",4,2016-09-26 00:00:00,"This timeless contemporary Craftsman residence in La Canada, built by C.H. Anderson, was once a grove of deodar pines, transformed into a property fit for entertaining and movement. Renowned architect",2,1,316009078,ITECH,3695000.00,"bedrooms,bathrooms",2011 Hall Canyon Drive,2
Built-In Gas,3,2016-09-28 00:00:00,"Beautiful remodeled single family residence at the end of a cul-de-sac. The stunning large kitchen is truly a show stopper with dark custom cabinets including a wine rack, stone counter tops, recessed",1,,316009157,ITECH,575000.00,"bedrooms,bathrooms",247 Crystal Lane,1
,1,2016-09-29 13:35:23,"Situated in the vibrant downtown LA South Park area is this live/work light-filled one bedroom gem. It features open floor plan, modern built-in appliances, European cabinets, enclosed bedroom, ample ",1,,316009232,ITECH,2650.00,"bedrooms,bathrooms",901 South Flower Street #506,
"Cooktop - Gas,Microwave,Oven",3,2016-10-03 00:00:00,"Welcome to 4842 Alminar Ave., considered a prime location for many in La Canada! Alminar is a quaint tree lined street not far from schools, shopping and restaurants. This cozy and charming 3 bedroom,",2,,316009342,ITECH,1339000.00,"bedrooms,bathrooms",4842 Alminar Avenue,
,3,2016-10-04 00:00:00,"Charming traditional home on a nice tree lined street in Sunland. Built in 1953, this 3 bedroom 2 bathroom home has been well maintained and has many recent upgrades including wide plank hardwood floo",1,,316009344,ITECH,549000.00,"bedrooms,bathrooms",8258 Owens Street,1
"Cooktop - Gas,Double Oven,Gas Grill,Range Hood",4,2016-10-07 00:00:00,"This stunning 1926 Spanish estate sits on nearly 24,000 square feet of flat land and features a detached 1-BR/1-BA GUEST HOUSE. This house combines original character details with a fantastic floor pl",2,1,316009356,ITECH,2195000.00,"bedrooms,bathrooms",4762 La Canada Boulevard,1
,4,2016-10-03 00:00:00,"Beautiful turn-key traditional in La Canada Flintridge. Fantastic floor plan for entertaining with great indoor-outdoor flow. Large living room/ dining room, cooks kitchen and breakfast nook open to t",1,1,316009368,ITECH,1195000.00,"bedrooms,bathrooms",4113 Lanterman Lane,1
,2,2016-10-07 00:00:00,"A dog-leg left from the first fairway of the Oakmont Country Club is where you will find this hidden, quaint street with friendly neighbors. This single-story, mid Century home has clean lines that ar",1,1,316009501,ITECH,799000.00,"bedrooms,bathrooms",1436 Valane Drive,
,3,2016-10-12 00:00:00,"This 1957 ranch home is located on a quiet cul-de-sac near Paradise Canyon Elementary School and hiking trails. The home offers a large living/great room with high ceilings, fireplace, built-in cabine",2,,316009646,ITECH,1195000.00,"bedrooms,bathrooms",526 Venado Vista Drive,
"Built-Ins,Convection Oven,Cooktop - Gas,Microwave,Oven",3,2016-10-14 00:00:00,"Price Reduction! Beautiful 1926 Character Spanish! Located on a peaceful street, this lovely Spanish Colonial is immaculate. Living Room Offers Gleaming Tongue and Groove Hardwood floors and the state",2,,316009693,ITECH,1126000.00,"bedrooms,bathrooms",1320 Loreto Drive,1
,3,2016-10-15 16:59:01,Charming 3 BR/ 3 BA home FOR LEASE in the award-winning La Canada Unified School district. The updated kitchen features granite counters and opens to the family room and dining area. Spacious Master B,1,1,316009737,ITECH,4000.00,"bedrooms,bathrooms",4439 Alta Canyada Road,1
"Gas,Oven-Gas",2,2016-10-17 00:00:00,"Just One and half blocks (5 minute walk) from the Metro Gold Line, this heavily-treed urban oasis is conveniently located near restaurants, shopping, art galleries, Old Pasadena, Paseo, South Lake Ave",2,1,316009746,ITECH,599000.00,"bedrooms,bathrooms",330 Cordova Street #312,
RangeOven,0,2016-10-19 00:00:00,"Chic studio located on a wonderful tree-lined street in the heart of Pasadena. Well situated in the sophisticated Oakland Towers, this unit features a double door entry, large picture windows with vie",1,,316009753,ITECH,355000.00,bathrooms,385 South Oakland Avenue #105,
"Gas/Electric Range,Oven",3,2016-10-18 00:00:00,"Beautiful property in desirable La Canada/Flintridge. Charming traditional one story house in a beautiful neighborhood, kitchen with breakfast room and convenient and spacious family room, Banquet siz",1,,316009802,ITECH,1450000.00,"bedrooms,bathrooms",5715 Summit Crest Drive,1
,4,2016-10-19 21:51:45,"Charming home located on a tree lined street. Great curb appeal, mature trees, backyard porch, hardwood floors, living room with a fireplace, nicely remodeled bathrooms, and kitchen, lots of closet sp",2,,316009844,ITECH,3500.00,"bedrooms,bathrooms",277 Atchison Street,1
,2,2016-10-21 00:00:00,1940's Traditional in desirable NE Monrovia neighborhood within Gold Ribbon School boundry. This 2 bedroom 1 bath home features an open concept living room dining room w/hardwood floors and playroom t,1,,316009913,ITECH,598000.00,"bedrooms,bathrooms",705 East Palm Avenue,
Free Standing Gas,3,2016-11-02 00:00:00,"Light-filled 3 bedroom, 2 bath Townhome that feels like a single family residence in great Rose Court neighborhood. This Craftsman style home features beautifully redone hardwood floors in the main li",2,1,316009971,ITECH,3000.00,"bedrooms,bathrooms",1143 Crowne Drive,
"Built-In BBQ,Gas,Oven-Gas",3,2016-10-25 00:00:00,"Welcome Home! This beautiful home offers 3 bedrooms, 2 baths with 2004 sq ft of living space. Enjoy gathering in your living room by one of the fireplaces that is connected to the spacious dining area",1,,316010002,ITECH,899000.00,"bedrooms,bathrooms",2331 North Orchard Drive,1
,3,2016-10-26 00:00:00,"Nestled in the scenic foothills of the San Gabriel Mountains, this beautifully maintained mid-century ranch is a composition of large, light-filled spacesa generous canvas to make your own. The 9,520-",1,,316010040,ITECH,899000.00,"bedrooms,bathrooms",1710 East Mendocino Street,1
,4,2016-10-27 12:33:34,"This sensational 1927 Spanish Colonial, revived to perfection, stands proudest among the other notable properties in this most coveted location of Rossmoyne Historic District. Rossmoyne is one of Glen",4,,316010077,ITECH,1895000.00,"bedrooms,bathrooms",1121 Hillcroft Road,
,4,2016-10-28 00:00:00,"Nothing defines Southern California real estate like the understated elegance of a two-story Spanish Revival home. Located in the prestigious Cal Tech area of Pasadena, with San Marino just a block aw",1,,316010117,ITECH,1699000.00,"bedrooms,bathrooms",370 South Berkeley Avenue,2
"Built-In Gas,Double Oven,Range Hood",3,2016-11-01 00:00:00,"This modern contemporary home resides on a corner lot in the upscale Langham Area of Pasadena, a neighborhood characterized by rolling, oak-covered terrain on the base of the picturesque San Gabriel M",3,1,316010138,ITECH,1998000.00,"bedrooms,bathrooms",929 Old Mill Road,
,4,2016-10-31 00:00:00,"San Marino Schools! Located in a quiet cul de sac, this traditional single story ranch home has 4 bedrooms and 3.5 bath including permitted guest house ( approx.545 sqft) in San Marino school district",3,1,316010184,ITECH,3950.00,"bedrooms,bathrooms",3263 Orlando Road,
"Free Standing Gas,Oven-Gas",4,2016-11-02 11:55:26,"Located in the desirable city of San Marino, near the prestigious Huntington Library, perched up and set back from the street, is this 4 bedrooms 4 baths whimsical traditional. It has been extensively",1,,316010241,ITECH,2485000.00,"bedrooms,bathrooms",555 Sierra Madre Boulevard,3
"Cooktop - Gas,Oven",3,2016-11-03 07:20:11,"Fantastic three bedroom townhome located in Cal Ritz-Park complex across from Singer Park. Conveniently located close to Old Town, Rose Parade route, Huntington Hospital. This unit is bright and light",1,1,316010261,ITECH,608000.00,"bedrooms,bathrooms",265 West California Boulevard #8,1
,0,2016-11-03 00:00:00,Great Opportunity! Buyer needs to check with City of Glendale and LA County Flood Control for possible specific uses of this property. Plans drawn in 2005 are available for viewing.,,,316010267,ITECH,150000.00,,0 Roselawn,
Built-In Gas,3,2016-11-05 06:16:15,"Charming, updated (approx 4 years ago) Spanish-style single family framed by lovely landscaping. Truly move-in ready. Centrally located, close to shopping, with easy freeway access. The remodeled kitc",1,,316010316,ITECH,540000.00,"bedrooms,bathrooms",766 Elmira Street,1
"Built-In Gas,Cooktop - Gas,Microwave,Oven",3,2016-11-07 00:00:00,"Set against the backdrop of the majestic San Gabriel Mountains, this beautiful single-level Spainsh home rests behind the gates of La Vina in Altadena. Enter through the lush courtyard to the front do",3,,316010376,ITECH,5000.00,"bedrooms,bathrooms",560 Chaparral Court,
RangeOven,3,2016-11-10 00:00:00,"Wonderful traditional 3 bedrooms, 2 bathrooms home located in Altadena. Granite counter-tops in the kitchen and baths, newer cabinets throughout. Light and bright living room with fireplace, formal di",2,,316010426,ITECH,650000.00,"bedrooms,bathrooms",391 West Harriet Street,
,5,2016-11-09 00:00:00,A dramatic backdrop of the San Gabriel Mountains and mature scenery frames the magnificent setting for this superb Mediterranean revival located in Altadena's premier estate area. Home to a celebrity ,5,,316010451,ITECH,2175000.00,"bedrooms,bathrooms",2079 Skyview Drive,1
,4,2016-11-11 00:00:00,"Beautiful one owner home in prime Montecito Park location. This single story residence features 4 bedrooms, 2.5 baths. New wood flooring throughout most of the house. Spacious master suite with ample ",1,1,316010501,ITECH,1150000.00,"bedrooms,bathrooms",3301 Vickers Drive,1
Oven,4,2016-11-13 00:00:00,Beautiful Hillcrest home for sale with 4 bedrooms (1 downstairs) and 3 baths. Upon entering you will be greeted with a beautiful living room with high ceilings along with dining area. Enjoy entertaini,3,,316010528,ITECH,569900.00,"bedrooms,bathrooms",27815 Zion Court,
Built-In BBQ,5,2016-11-14 00:00:00,"5042 Indianola Way is a one of a kind property, located on a desirable cul-de-sac in La Canada Flintridge, close to Paradise Canyon Elementary and town. This handsome single story traditional home fea",4,,316010536,ITECH,2600000.00,"bedrooms,bathrooms",5042 Indianola Way,
"Built-Ins,Microwave,Oven,RangeOven,Range Hood",2,2016-11-18 00:00:00,Located in the prestigious and desirable Franciscan Woods. This tri-level townhouse is exceptional in every aspect. The newly built front deck is ideal for relaxing and entertaining with amazing views,3,,316010634,ITECH,785000.00,"bedrooms,bathrooms",574 Garfield Avenue,
Built-In Gas,4,2016-11-17 00:00:00,"Nestled on a breathtaking secluded lot in the esteemed Vista De Oro neighborhood, this completely re-imagined mid-century home marries pristine contemporary features with luxury amenities that wash aw",3,1,316010650,ITECH,1299000.00,"bedrooms,bathrooms",20280 Allentown Drive,
Built-In Gas,4,2016-11-18 07:45:06,"ALARM IS ON.Two-story Victorian home with an inviting wraparound porch and lots of character throughout and many nice upgrades including copper plumbing, updated electrical and central air. Large livi",1,,316010702,ITECH,1025000.00,"bedrooms,bathrooms",545 Westgate Street,1
RangeOven,3,2016-10-04 00:00:00,"A decorator perfect home in Torrance Gardens awaits: enter this 1,611 sq. ft. gem from a welcoming brick front porch, step into the inviting living room with beautiful wood floors, and take your time ",2,99,SB16712658MR,CRMLS,779000.00,"bedrooms,bathrooms",1110 Felbar Avenue,
